index,lon,lat,timestamp_epoch_s,radius_or_accuracy_m,intent
0,-4.481803,54.150724,1757000000,25,NORMAL
1,-4.488552,54.149521,1757000027,25,NORMAL
2,-4.495383,54.150463,1757000054,25,NORMAL
3,-4.500553,54.153291,1757000081,25,NORMAL
4,-4.503025,54.158168,1757000108,25,NORMAL
5,-4.504948,54.161582,1757000135,25,NORMAL
6,-4.507060,54.165950,1757000162,25,NORMAL
7,-4.509662,54.170287,1757000189,25,NORMAL
8,-4.512824,54.174019,1757000216,25,NORMAL
9,-4.517619,54.177375,1757000243,25,NORMAL
10,-4.521652,54.181403,1757000270,25,NORMAL
11,-4.528214,54.183044,1757000297,25,NORMAL
12,-4.534416,54.185441,1757000324,25,NORMAL
13,-4.540986,54.187375,1757000351,25,NORMAL
14,-4.548375,54.187233,1757000378,25,NORMAL
15,-4.555582,54.188311,1757000405,25,NORMAL
16,-4.560965,54.186364,1757000432,25,NORMAL
17,-4.566353,54.183996,1757000459,25,NORMAL
18,-4.573252,54.186817,1757000486,25,NORMAL
19,-4.600364,54.194293,1757000513,25,"NORMAL (first point after 3 dropped samples ~1500m upstream, simulating a dropped-delivery gap)"
20,-4.605657,54.196767,1757000540,25,"NORMAL, not perturbed"
21,-4.613303,54.198500,1757000567,10,"INJECTED_NOISY: clone of the coordinate at index 22, offset +120m north (lat + 120/111320 deg), declared radius/accuracy tightened to 10m"
22,-4.613303,54.197422,1757000657,25,"NORMAL -- this is the TRUE unoffset location that index 21 was cloned from; arrives 90s after index 21 (the injected temporal gap is between index 21 and 22, i.e. AFTER the noisy point, not before it)"
23,-4.620871,54.199301,1757000684,25,NORMAL
24,-4.627572,54.202124,1757000711,25,NORMAL
25,-4.629307,54.205365,1757000738,25,NORMAL
26,-4.630415,54.209856,1757000765,25,NORMAL
27,-4.635270,54.209382,1757000792,25,NORMAL
28,-4.642807,54.210763,1757000819,25,NORMAL
29,-4.648761,54.213501,1757000846,25,NORMAL
30,-4.654897,54.214176,1757000873,25,NORMAL
31,-4.662035,54.215828,1757000900,25,NORMAL
32,-4.670530,54.217906,1757000927,25,NORMAL
33,-4.676140,54.219448,1757000954,25,NORMAL
34,-4.683610,54.221006,1757000981,25,NORMAL
35,-4.690383,54.222327,1757001008,25,NORMAL
